W WARNING: You specified different values for --load_checkpoint_dir and --save_checkpoint_dir, but you are running training and testing in a single invocation. The testing step will respect --load_checkpoint_dir, and thus WILL NOT TEST THE CHECKPOINT CREATED BY THE TRAINING STEP. Train and test in two separate invocations, specifying the correct --load_checkpoint_dir in both cases, or use the same location for loading and saving.
I Loading best validating checkpoint from pretrained/best_dev-732522
I Loading variable from checkpoint: beta1_power
I Loading variable from checkpoint: beta2_power
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam
I Loading variable from checkpoint: cudnn_lstm/opaque_kernel/Adam_1
I Loading variable from checkpoint: global_step
I Loading variable from checkpoint: layer_1/bias
I Loading variable from checkpoint: layer_1/weights
I Loading variable from checkpoint: layer_2/bias
I Loading variable from checkpoint: layer_2/weights
I Loading variable from checkpoint: layer_3/bias
I Loading variable from checkpoint: layer_3/weights
I Loading variable from checkpoint: layer_5/bias
I Loading variable from checkpoint: layer_5/weights
I Initializing variable: layer_6/bias
I Initializing variable: layer_6/bias/Adam
I Initializing variable: layer_6/bias/Adam_1
I Initializing variable: layer_6/weights
I Initializing variable: layer_6/weights/Adam
I Initializing variable: layer_6/weights/Adam_1
I Initializing variable: learning_rate
I STARTING Optimization
Epoch 0 |   Training | Elapsed Time: 0:00:23 | Steps: 143 | Loss: 85.004545
Epoch 0 |   Training | Elapsed Time: 0:00:23 | Steps: 144 | Loss: 85.084409
Epoch 0 |   Training | Elapsed Time: 0:00:23 | Steps: 145 | Loss: 85.162016
Epoch 0 |   Training | Elapsed Time: 0:00:24 | Steps: 146 | Loss: 85.233803
Epoch 0 |   Training | Elapsed Time: 0:00:24 | Steps: 147 | Loss: 85.223812
Epoch 0 |   Training | Elapsed Time: 0:00:24 | Steps: 148 | Loss: 85.358173
Epoch 0 |   Training | Elapsed Time: 0:00:24 | Steps: 149 | Loss: 85.441360
Epoch 0 |   Training | Elapsed Time: 0:00:24 | Steps: 150 | Loss: 85.535919
Epoch 0 |   Training | Elapsed Time: 0:00:25 | Steps: 151 | Loss: 85.614875
Epoch 0 |   Training | Elapsed Time: 0:00:25 | Steps: 152 | Loss: 85.714165
Epoch 0 |   Training | Elapsed Time: 0:00:25 | Steps: 153 | Loss: 85.838157
Epoch 0 |   Training | Elapsed Time: 0:00:25 | Steps: 154 | Loss: 86.003589
Epoch 0 |   Training | Elapsed Time: 0:00:25 | Steps: 155 | Loss: 86.039027
Epoch 0 |   Training | Elapsed Time: 0:00:25 | Steps: 156 | Loss: 86.092340
Epoch 0 |   Training | Elapsed Time: 0:00:26 | Steps: 157 | Loss: 86.155380
Epoch 0 |   Training | Elapsed Time: 0:00:26 | Steps: 158 | Loss: 86.190581
Epoch 0 |   Training | Elapsed Time: 0:00:26 | Steps: 159 | Loss: 86.221035
Epoch 0 |   Training | Elapsed Time: 0:00:26 | Steps: 160 | Loss: 86.217425
Epoch 0 |   Training | Elapsed Time: 0:00:26 | Steps: 161 | Loss: 86.325054
Epoch 0 |   Training | Elapsed Time: 0:00:26 | Steps: 162 | Loss: 86.503785
Epoch 0 |   Training | Elapsed Time: 0:00:27 | Steps: 163 | Loss: 86.599260
Epoch 0 |   Training | Elapsed Time: 0:00:27 | Steps: 164 | Loss: 86.678116
Epoch 0 |   Training | Elapsed Time: 0:00:27 | Steps: 165 | Loss: 86.806063
Epoch 0 |   Training | Elapsed Time: 0:00:27 | Steps: 166 | Loss: 86.880825
Epoch 0 |   Training | Elapsed Time: 0:00:27 | Steps: 167 | Loss: 86.986481
Epoch 0 |   Training | Elapsed Time: 0:00:28 | Steps: 168 | Loss: 87.005881
Epoch 0 |   Training | Elapsed Time: 0:00:28 | Steps: 169 | Loss: 87.014752
Epoch 0 |   Training | Elapsed Time: 0:00:28 | Steps: 170 | Loss: 87.051642
Epoch 0 |   Training | Elapsed Time: 0:00:28 | Steps: 171 | Loss: 87.118176
Epoch 0 |   Training | Elapsed Time: 0:00:28 | Steps: 172 | Loss: 87.233008
Epoch 0 |   Training | Elapsed Time: 0:00:28 | Steps: 173 | Loss: 87.279564
Epoch 0 |   Training | Elapsed Time: 0:00:29 | Steps: 174 | Loss: 87.383311
Epoch 0 |   Training | Elapsed Time: 0:00:29 | Steps: 175 | Loss: 87.387569
Epoch 0 |   Training | Elapsed Time: 0:00:29 | Steps: 176 | Loss: 87.480662
Epoch 0 |   Training | Elapsed Time: 0:00:29 | Steps: 177 | Loss: 87.523723
Epoch 0 |   Training | Elapsed Time: 0:00:29 | Steps: 178 | Loss: 87.651595
Epoch 0 |   Training | Elapsed Time: 0:00:30 | Steps: 179 | Loss: 87.756926
Epoch 0 |   Training | Elapsed Time: 0:00:30 | Steps: 180 | Loss: 87.836394
Epoch 0 |   Training | Elapsed Time: 0:00:30 | Steps: 181 | Loss: 87.940723
Epoch 0 |   Training | Elapsed Time: 0:00:30 | Steps: 182 | Loss: 87.938952
Epoch 0 |   Training | Elapsed Time: 0:00:30 | Steps: 183 | Loss: 87.992952
Epoch 0 |   Training | Elapsed Time: 0:00:30 | Steps: 184 | Loss: 88.065617
Epoch 0 |   Training | Elapsed Time: 0:00:31 | Steps: 185 | Loss: 88.123380
Epoch 0 |   Training | Elapsed Time: 0:00:31 | Steps: 186 | Loss: 88.174977
Epoch 0 |   Training | Elapsed Time: 0:00:31 | Steps: 187 | Loss: 88.262362
Epoch 0 |   Training | Elapsed Time: 0:00:31 | Steps: 188 | Loss: 88.381324
Epoch 0 |   Training | Elapsed Time: 0:00:31 | Steps: 189 | Loss: 88.488171
Epoch 0 |   Training | Elapsed Time: 0:00:32 | Steps: 190 | Loss: 88.585130
Epoch 0 |   Training | Elapsed Time: 0:00:32 | Steps: 191 | Loss: 88.639225
Epoch 0 |   Training | Elapsed Time: 0:00:32 | Steps: 192 | Loss: 88.807109
Epoch 0 |   Training | Elapsed Time: 0:00:32 | Steps: 193 | Loss: 88.870693
Epoch 0 |   Training | Elapsed Time: 0:00:32 | Steps: 194 | Loss: 88.878475
Epoch 0 |   Training | Elapsed Time: 0:00:33 | Steps: 195 | Loss: 88.982520
Epoch 0 |   Training | Elapsed Time: 0:00:33 | Steps: 196 | Loss: 89.082833
Epoch 0 |   Training | Elapsed Time: 0:00:33 | Steps: 197 | Loss: 89.160328
Epoch 0 |   Training | Elapsed Time: 0:00:33 | Steps: 198 | Loss: 89.235010
Epoch 0 |   Training | Elapsed Time: 0:00:33 | Steps: 199 | Loss: 89.282426
Epoch 0 |   Training | Elapsed Time: 0:00:34 | Steps: 200 | Loss: 89.345848
Epoch 0 |   Training | Elapsed Time: 0:00:34 | Steps: 201 | Loss: 89.483429
Epoch 0 |   Training | Elapsed Time: 0:00:34 | Steps: 202 | Loss: 89.638349
Epoch 0 |   Training | Elapsed Time: 0:00:34 | Steps: 203 | Loss: 89.798375
Epoch 0 |   Training | Elapsed Time: 0:00:34 | Steps: 204 | Loss: 89.841839
Epoch 0 |   Training | Elapsed Time: 0:00:34 | Steps: 205 | Loss: 89.888036
Epoch 0 |   Training | Elapsed Time: 0:00:35 | Steps: 206 | Loss: 89.998025
Epoch 0 |   Training | Elapsed Time: 0:00:35 | Steps: 207 | Loss: 90.077158
Epoch 0 |   Training | Elapsed Time: 0:00:35 | Steps: 208 | Loss: 90.149292
Epoch 0 |   Training | Elapsed Time: 0:00:35 | Steps: 209 | Loss: 90.203967
Epoch 0 |   Training | Elapsed Time: 0:00:35 | Steps: 210 | Loss: 90.249918
Epoch 0 |   Training | Elapsed Time: 0:00:36 | Steps: 211 | Loss: 90.288982
Epoch 0 |   Training | Elapsed Time: 0:00:36 | Steps: 212 | Loss: 90.278655
Epoch 0 |   Training | Elapsed Time: 0:00:36 | Steps: 213 | Loss: 90.366703
Epoch 0 |   Training | Elapsed Time: 0:00:36 | Steps: 214 | Loss: 90.437631
Epoch 0 |   Training | Elapsed Time: 0:00:36 | Steps: 215 | Loss: 90.555508
Epoch 0 |   Training | Elapsed Time: 0:00:37 | Steps: 216 | Loss: 90.622287
Epoch 0 |   Training | Elapsed Time: 0:00:37 | Steps: 217 | Loss: 90.741833
Epoch 0 |   Training | Elapsed Time: 0:00:37 | Steps: 218 | Loss: 90.832334
Epoch 0 |   Training | Elapsed Time: 0:00:37 | Steps: 219 | Loss: 90.917902
Epoch 0 |   Training | Elapsed Time: 0:00:37 | Steps: 220 | Loss: 90.940865
Epoch 0 |   Training | Elapsed Time: 0:00:38 | Steps: 221 | Loss: 90.991575
Epoch 0 |   Training | Elapsed Time: 0:00:38 | Steps: 222 | Loss: 91.012667
Epoch 0 |   Training | Elapsed Time: 0:00:38 | Steps: 223 | Loss: 91.133976
Epoch 0 |   Training | Elapsed Time: 0:00:38 | Steps: 224 | Loss: 91.184232
